event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_569||1335,evt_569,same_section,19,1,0.5263157894736842,TRUE,FALSE,FALSE,candidate_missing_salary
evt_570||1335,evt_570,same_section,19,2,0.5263157894736842,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_573||1538,evt_573,different_department,4,1,0.75,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_576||8996,evt_576,different_department,2,1,0,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_57||6701,evt_57,same_department,30,1,0.16666666666666666,TRUE,FALSE,FALSE,candidate_missing_salary
evt_57||7506,evt_57,different_department,40,1,0.425,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_582||1449,evt_582,different_department,84,1,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_582||8490,evt_582,different_department,27,1,0.2222222222222222,TRUE,FALSE,FALSE,candidate_missing_salary
evt_584||6843,evt_584,different_department,23,3,0.6086956521739131,TRUE,FALSE,FALSE,candidate_missing_salary
evt_586||1642,evt_586,same_department,24,1,0.25,TRUE,FALSE,FALSE,candidate_missing_salary
evt_586||6143,evt_586,same_department,3,1,0.6666666666666666,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_586||6983,evt_586,different_department,2,1,0.5,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_587||1972,evt_587,different_department,2,1,0.5,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_588||6701,evt_588,same_department,30,9,0.16666666666666666,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_589||6701,evt_589,same_department,2,1,1,TRUE,TRUE,TRUE,usable_salary
evt_58||1490,evt_58,same_department,4,1,0.5,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_596||1449,evt_596,same_section,84,4,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
