year_num,gov_level,office_id,office,office_norm,ward_current,historical_ward_guess,ward_assignment_method,ward_jp,historical_wards,slug,distance_to_yurakucho_km,central_hq,ward_guess_jp,ward_centroid_lat,ward_centroid_lon
1941,TokyoFu,3308,〓家具王養成所,家具王養成所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3408,〓幹部機械工養成所,幹部機械工養成所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3420,〓府中土木出張所,府中土木出張所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3424,〓府立久留米青年學校,府立久留米青年学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3426,〓府立五高女夜學校,府立五高女夜学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3428,〓府立八王子性病豫防所,府立八王子性病豫防所,Kita,Takinogawa/Oji,name_keyword,北区,Takinogawa; Oji,kita-ku,9.078380214757798,0,北区,35.7528,139.7336
1941,TokyoFu,3430,〓府立六高女夜學校,府立六高女夜学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3431,〓府立化學工業學校,府立化学工業学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3432,〓府立北多摩保健所,府立北多摩保健所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3433,〓府立商工學校,府立商工学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3434,〓府立園藝學校,府立園藝学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3435,〓府立女子青年學校,府立女子青年学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3438,〓府立工業奬勵館,府立工業奬勵館,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3439,〓府立工藝學校,府立工藝学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3440,〓府立府中性病豫防所,府立府中性病豫防所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3441,〓府立恩方診療所,府立恩方診療所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3442,〓府立東京商工奬勵館,府立東京商工奬勵館,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3444,〓府立板橋健康相談所,府立板橋健康相談所,Itabashi,Itabashi,name_keyword,板橋区,Itabashi,itabashi-ku,9.81289847875712,0,板橋区,35.7513,139.7093
1941,TokyoFu,3445,〓府立板橋性病豫防所,府立板橋性病豫防所,Itabashi,Itabashi,name_keyword,板橋区,Itabashi,itabashi-ku,9.81289847875712,0,板橋区,35.7513,139.7093
1941,TokyoFu,3446,〓府立染織試驗場,府立染織試験場,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3447,〓府立機械工業學校,府立機械工業学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3448,〓府立機械工養成所,府立機械工養成所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3449,〓府立淀橋健康相談所,府立淀橋健康相談所,Shinjuku,Yotsuya/Ushigome/Yodobashi,name_keyword,新宿区,Yotsuya; Ushigome; Yodobashi,shinjuku-ku,5.837560049760066,0,新宿区,35.6938,139.7034
1941,TokyoFu,3450,〓府立淀橋性病豫防所,府立淀橋性病豫防所,Shinjuku,Yotsuya/Ushigome/Yodobashi,name_keyword,新宿区,Yotsuya; Ushigome; Yodobashi,shinjuku-ku,5.837560049760066,0,新宿区,35.6938,139.7034
1941,TokyoFu,3451,〓府立清瀬病院,府立清瀬病院,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3452,〓府立立川健康相談所,府立立川健康相談所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3453,〓府立立川性病豫防所,府立立川性病豫防所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3454,〓府立第一中學校,府立第一中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3455,〓府立第一商業學校,府立第一商業学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3456,〓府立第一高女夜學校,府立第一高女夜学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3457,〓府立第一高等女學校,府立第一高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3458,〓府立第七中學校,府立第七中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3459,〓府立第七高等女學校,府立第七高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3460,〓府立第三中學校,府立第三中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3461,〓府立第三商業學校,府立第三商業学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3462,〓府立第三高等女學校,府立第三高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3463,〓府立第九中學校,府立第九中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3464,〓府立第九高等女學校,府立第九高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3465,〓府立第二中學校,府立第二中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3466,〓府立第二商業學校,府立第二商業学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3467,〓府立第二高等女學校,府立第二高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3468,〓府立第五中學校,府立第五中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3469,〓府立第五高等女學校,府立第五高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3470,〓府立第八中學校,府立第八中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3471,〓府立第八高女夜學校,府立第八高女夜学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3472,〓府立第八高等女學校,府立第八高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3473,〓府立第六中學校,府立第六中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3474,〓府立第六高等女學校,府立第六高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3475,〓府立第十一中學校,府立第十一中学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,3476,〓府立第十一高等女學校,府立第十一高等女学校,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
